,state_abbr,county_name,combined_fips,votes_dem,votes_gop,total_votes,per_dem,per_gop,diff,per_point_diff,covid_cases,covid_deaths
0,AK,Alaska,2013,0,0,0,0,0,0,0,0,0
1,AK,Alaska,2016,0,0,0,0,0,0,0,0,0
2,AK,Alaska,2020,0,0,0,0,0,0,0,0,0
3,AK,Alaska,2050,0,0,0,0,0,0,0,0,0
4,AK,Alaska,2060,0,0,0,0,0,0,0,0,0
5,AK,Alaska,2068,0,0,0,0,0,0,0,0,0
6,AK,Alaska,2070,0,0,0,0,0,0,0,0,0
7,AK,Alaska,2090,0,0,0,0,0,0,0,0,0
8,AK,Alaska,2100,0,0,0,0,0,0,0,0,0
9,AK,Alaska,2105,0,0,0,0,0,0,0,0,0
10,AK,Alaska,2110,0,0,0,0,0,0,0,0,0
11,AK,Alaska,2122,0,0,0,0,0,0,0,0,0
12,AK,Alaska,2130,0,0,0,0,0,0,0,0,0
13,AK,Alaska,2150,0,0,0,0,0,0,0,0,0
14,AK,Alaska,2164,0,0,0,0,0,0,0,0,0
15,AK,Alaska,2170,0,0,0,0,0,0,0,0,0
16,AK,Alaska,2180,0,0,0,0,0,0,0,0,0
17,AK,Alaska,2185,0,0,0,0,0,0,0,0,0
18,AK,Alaska,2188,0,0,0,0,0,0,0,0,0
19,AK,Alaska,2195,0,0,0,0,0,0,0,0,0
20,AK,Alaska,2198,0,0,0,0,0,0,0,0,0
21,AK,Alaska,2220,0,0,0,0,0,0,0,0,0
22,AK,Alaska,2230,0,0,0,0,0,0,0,0,0
23,AK,Alaska,2240,0,0,0,0,0,0,0,0,0
24,AK,Alaska,2261,0,0,0,0,0,0,0,0,0
25,AK,Alaska,2270,0,0,0,0,0,0,0,0,0
26,AK,Alaska,2275,0,0,0,0,0,0,0,0,0
27,AK,Alaska,2282,0,0,0,0,0,0,0,0,0
28,AK,Alaska,2290,0,0,0,0,0,0,0,0,0
29,AL,Autauga County,1001,7503,19838,27770,0.270183651,0.714368023,12335,0.444184372,8959,119
30,AL,Baldwin County,1003,24578,83544,109679,0.2240903,0.761713728,58966,0.537623428,33968,392
31,AL,Barbour County,1005,4816,5622,10518,0.457881727,0.534512265,806,0.076630538,3166,65
32,AL,Bibb County,1007,1986,7525,9595,0.206982804,0.784262637,5539,0.577279833,3618,74
33,AL,Blount County,1009,2640,24711,27588,0.09569378,0.895715528,22071,0.800021749,8830,146
34,AL,Bullock County,1011,3446,1146,4613,0.747019293,0.248428355,-2300,-0.498590939,1404,42
35,AL,Butler County,1013,3965,5458,9488,0.41789629,0.575252951,1493,0.157356661,2887,76
36,AL,Calhoun County,1015,15216,35101,50983,0.298452425,0.688484397,19885,0.390031971,18465,355
37,AL,Chambers County,1017,6365,8753,15284,0.416448574,0.572690395,2388,0.156241822,4871,127
38,AL,Cherokee County,1019,1624,10583,12301,0.132021787,0.860336558,8959,0.728314771,2558,49
39,AL,Chilton County,1021,3073,16085,19310,0.159140342,0.832988089,13012,0.673847747,5813,121
40,AL,Choctaw County,1023,3127,4296,7464,0.418944266,0.575562701,1169,0.156618435,697,25
41,AL,Clarke County,1025,5755,7324,13135,0.438142368,0.557594214,1569,0.119451846,4308,68
42,AL,Clay County,1027,1267,5601,6930,0.182828283,0.808225108,4334,0.625396825,2048,60
43,AL,Cleburne County,1029,675,6484,7227,0.093399751,0.897191089,5809,0.803791338,1955,46
44,AL,Coffee County,1031,5076,16899,22275,0.227878788,0.758653199,11823,0.530774411,8199,147
